Stars,Title_of_Review,Base_Review,,,
1.0 out of 5 stars,-Seanna WORST APP EVER!!!!,"Worst app ever! I signed in, and I didn't sign out when I went off I came back on and it deleted my account!! 😢😤😤😤😤",,,
4.0 out of 5 stars,Cool.,"Skype is a really cool app, wheen I need to text or call my friends it works really good! Except... when you get on the web or play a game it stops your call... but other than that, it is a great app!",,,
2.0 out of 5 stars,Disappointed...,I am very disappointed with this app. It takes 20 minutes to load it IF it loads at all. I have uninstalled and reinstalled twice with no different results. It is fine when it does work...if you can get it to load. On my laptop is fine but sux on the kindle fire HD.,,,
4.0 out of 5 stars,It's great! But....,"It's an awesome app! I love it, but Skype sent me a card with basically said I am no longer able to use the mobile version of my Skype unless I get an update, and there is no update available! I have until July 1st to get this non-existent update! Please add and update soon! Thank you!",,,
1.0 out of 5 stars,this app sucks,This app made me want to sell my kindle because it was so bad. Super loud background noise and bad call every time. It also restarts my kindle automatically sometimes when I open the app. I called mayday and they didntbseem to know what to do about it.,,,
1.0 out of 5 stars,Can't hear,Got the update the other day.....now I can't hear the other person even with my volume turned all the way up. I'm giving one star until it's fixed.,,,
1.0 out of 5 stars,very bed!,Skype in BBM is very very bed and hateble!!,,,
4.0 out of 5 stars,Great but buggy,It won't let me call anymore 😢,,,
3.0 out of 5 stars,still figuring it out,"i am not technical but i like the concept, just need a little help and then i'll figure it out and enjoy the app, it is cool to have on a kindle",,,
1.0 out of 5 stars,terrible,"We have iPod, iPad, Samsung galaxy s 4, hp laptop, MacBook and kindle in our family.Skype is installed on all devices. Skype for kindle has terrible audio video sync issue (about 5 seconds). Skype works flawless, seamless on other devices except. It's not internet speed because Skype works without sync issues on other devices. Updated latest kindle software (July 2,2014), uninstalled installed Skype, cleared data etc. Reset device, installed Skype. Same issue. Good job Amazon/Skype/MS fire screwing up this app.",,,
2.0 out of 5 stars,it's ok after a while,It was ok before the update but now since the update Skype won't let me accept some calls or make calls and if they do accept my Skype stops would give  a higher rating if they fixed the crashes and stuff :/,,,
1.0 out of 5 stars,Skype crash,Every time I try to join a call my Skype crashes every single time. And it takes forever to load chat. This happened in the most recent update.  It will get a better review once they fix the problem,,,
1.0 out of 5 stars,Really?!,"Skype performed pretty good to be free, until the update was installed now I am unable to sign in. REALLY?!",,,
4.0 out of 5 stars,Having problems at the moment.,"I think the new update needs a patch because when i turn on my video in a call after a few seconds the app freezes and if i try to get back on, i cant make or receive calls. It doesnt make any noise i do call someone or get a call and its really disappointing. Is it only on the kindle? Someone needs to get this fixed.",,,
1.0 out of 5 stars,terrible,"This app has been terrible since the new update. It will not make or receive calls. It also won't allow me to be on a call long, it randomally decides  to close. The new app is terrible compared to what Skype used to be",,,
3.0 out of 5 stars,Not gonna put a bad rating but...,I'm not putting a bad rating because it's still good but it has plenty of bugs such as listed by other reviews. One thing I will state is that the instant messaging thing always says pending... even if I have perfect internet connection... just wait to get it until they fix everything... 😤,,,
1.0 out of 5 stars,Why the Update?,"This app was perfectly fine before the update... but now, I can't do video messaging, voice calls, or even instant messaging... I am very disappointed because I was very happy before, and it was totally fine...  -sigh- please fix this?",,,
3.0 out of 5 stars,nnnnnnnnooooooo,Well I tried it but it wouldn't let me sign in . I tried many different usernames and passwords but it just wouldn't let me. So this is howl I feel. 😈😠😬😡😣😤😱😲😵😒,,,
5.0 out of 5 stars,skype is awesome,I think skype is a better way to video chat than Facebook and for th  people who don't have a facebook,,,
5.0 out of 5 stars,I love it!,My family lives far away from me and sometimes I want to talk to them in person but I can't. Thanks to Skype now I can!,,,
1.0 out of 5 stars,trop de pub intrusives !,"Très décevant, pub racoleuse permanente.Ne conseil pas. Dommage, cette application n'a rien à voir avec l'ancienne de meilleurs distribution et surtout sans pollution publicitaire inappropriée.Cdlt,AM",,,
1.0 out of 5 stars,skype,At first I was very pleased at Skype but now it says it needs a update and it is no longer comparable with my kindle fire HD un till they fix this I am very posses and give it a one star,,,
5.0 out of 5 stars,Awesome app,"This is a great app.  Although it needs a Sms account, it works well!",,,
3.0 out of 5 stars,so so,It works really well if you call some one and they pick up but I have been hearing ringing and the kindle is on mute just because I called someone and they didn't pick up,,,
5.0 out of 5 stars,hi,hi Skype is a good app,,,
1.0 out of 5 stars,Worst App on Kindle,First of all·My recent aren't updated·My group chats aren't there·Slow to update chatsLastly·they should work on the app more and also fix and update this app -.-,,,
5.0 out of 5 stars,Skype is truly useful,So my no!is going to Texas so I started looking for something I can keep in contact with my mom so I downloaded this app and it work's great.,,,
4.0 out of 5 stars,Needs a little fix But good,It works good but if it didn't need another app to give it WiFi that would be great if it came with it,,,
2.0 out of 5 stars,update? downgrade!,"It wasnt the most stable app out there but it served the purpose when trying to talk to a friend 6900 miles away. After the update, the connectivity is worse and the Bluetooth won't work at all which is unacceptable. I drive way too much for that. What happened skype?",,,
1.0 out of 5 stars,Wish I could give it zero stars!,"Audio cracks, delays up to 20, echoes, and it doesnt connect, send notifications, or even give calls at times. not to mention the fact the call drops fifty times every time you call. horrible app, switching to google hangouts",,,
1.0 out of 5 stars,Read the permission list before you download!!!,"It is unbelievable that access to your device you are giving away when you download this app. This is every hackers and data collectors dream come true. Basically with this app whenever you have a Wi-Fi signal or connection with your service provider, you're giving this company and anyone able to exploit it access to all of your personal information and all of devices functions without you being aware.",,,
1.0 out of 5 stars,WHY WOULD ANYONE DO THIS,Don't do it. Just....just don't. Save your time...back out of this and don't do it..don't even consider it...Amazon...fix your ish. :| it crashes the volume is ridiculous and once you delete it it won't let you reinstall (at least for me) skypes update ruined Skype.,,,
5.0 out of 5 stars,Don't do ps,Love it works greatSo good,,,
2.0 out of 5 stars,skype,no fun things. like changing colors. or face warp,,,
3.0 out of 5 stars,Haven't really had a chance to use it yet,I read various reviews.  Some were good some were bad.  I can't really comment since I haven't had the opportunity to talk to anyone.,,,
2.0 out of 5 stars,It used to be good.,"Ever since the update, I have had to constantly redownload because notifications work about 5 times and then never work again unless I redownload the app. I deleted 4 GB of data to keep this app and Terraria from crashing (both update problems). Fix it please.",,,
2.0 out of 5 stars,mad,I'm mad because um me and my friend were talking and my friend called me back I could see her and we could hear each softer but she could not see me,,,
2.0 out of 5 stars,Update won't download correctly for Kindle Fire HD6,"Not only that, it's choppy as hell.",,,
4.0 out of 5 stars,for u,I like this app . HD screens and u message Exept I wish it didn't buffer a lot. Other that that it's a great app,,,
3.0 out of 5 stars,ok,I like it. I don't see a problem with Skype.,,,
4.0 out of 5 stars,Works great ...,"On my Kindle Fire HD 7"" - I wouldn't change a thing about it.  I use it when I am not on my laptop, or when on the road.",,,
5.0 out of 5 stars,SKYPE,"I think this app is great! However  a lot of people say it glitches on their Kindle, though it does not glitch on mine sooooo I don't know what the biggie is. Sorry to everyone's Skype that does glitch,but the glitch is not for everyone",,,
2.0 out of 5 stars,Two Stars,does not stay on long shuts down every time,,,
1.0 out of 5 stars,The update sucks,It crashes every for everything!! I can't make or receive calls. When I do I can't hear anything from the other person. Super pissed off.,,,
4.0 out of 5 stars,"Little packages, big things!",Just like the big one ... just easier to take it with you in a smaller version!,,,
1.0 out of 5 stars,Sux,"amazes me that in 2012 this worked great. I have to wonder if that was before Microsoft's bought it. It's awful now, thanks for the updates.  LOL",,,
2.0 out of 5 stars,TERRIBLE UPDATE,Sucks. Every time I face time my friends for studying in the middle of technology conversation my screen freezes up and turns black... then it shuts down... is just awful.,,,
2.0 out of 5 stars,Hadley Ever Works,"There is always an issue with my Skype. I can't see the person, they can't see me. It always freezes. It always shuts down. When it does work, it's choppy. I like Skype but it's not for my Kindle.",,,
4.0 out of 5 stars,Coolest app 😊,"They have the coolest text/videos, you can video chat, and it's all for free!!!",,,
4.0 out of 5 stars,great except 4 1 thing,"It's great but wen I try to take a profile pic and I click the little button for it to work it says ""Skype has stop unexpectedly please try again"" I did and it does the same thing every time other than that it's great I totally recommend it if u don't want a pro pic.-Cowz",,,
1.0 out of 5 stars,can't answer calls?,I was calling my friend and I would accept it and it wouldn't awnser,,,
3.0 out of 5 stars,New updated version??,"I recently tried to open skype and it told me there was an updated version. When I updated it and clicked on it again, it still denied me. I'm confused and unhappy. This is how I chat with friends",,,
5.0 out of 5 stars,I love This app,This app is one of the best video chat apps I've ever downloaded you can also just talk to your friends without seeing them or you can chat back and fourth which I think is the coolest thing about Skype.,,,
5.0 out of 5 stars,Five Stars,Great!,,,
5.0 out of 5 stars,Get it,It super good and FREE I don't know y someone will not like it,,,
5.0 out of 5 stars,Great Comm Tool,makes me want to talk to people far away,,,
1.0 out of 5 stars,very unhappy,"The new update is unbelievably terrible!!! And it really irritates me that they would put it out there with all the issues it has, and they haven't done anything to fix any of the problems. If it isn't fixed soon I will be finding a different app. I'm really annoyed by this! IF IT ISN'T BROKE, DON'T FIX IT!!!!!!!!",,,
5.0 out of 5 stars,Five Stars,Use it often to talk to my LB,,,
2.0 out of 5 stars,Kindle Version is Horrible,I'm sticking with my smartphone's version of Skype because the Kindle HD version is quite poor in regards to overall quality.,,,
5.0 out of 5 stars,Great,When One of my best friends moved to Chicago I was super sad but when I got this kindle with Skype now we can talk and play anytime I love this app one problem though it needs plugins like voice master and fire arc arcade that would make it perfect,,,
5.0 out of 5 stars,easy,If you have long distant relatives this is perfect because you can talk with them wherever they are i like that it shows both you +the person your speaking to,,,
5.0 out of 5 stars,work great,Makes it easy to keep in touch with family and friends if you can not not get on the computer or Don't own your own computer,,,
1.0 out of 5 stars,Awful,"It's a great app, if you're a fan of constant crashes that require a full restart of your Kindle before you can use it again.  And if you like five minutes intervals between crashes.  I've waited a few months for a fix and haven't seen one.  What gives???",,,
2.0 out of 5 stars,New update?,"I can  no longer use this app because it tells  me to update,but won't run the update. I hope they fix this soon!",,,
3.0 out of 5 stars,Not To Bad,"The app itself is pretty good, well, with the old update. I'm kind of interested in getting an updated version though. I mean like, 100% fully up to date with every other skype on phones and computers. Otherwise its pretty good.",,,
4.0 out of 5 stars,Pretty good,"This app works well on my kindle fire hd. The only complaints I have is the picture quality is low at times and tends to freeze. It is also quiet at times. And lastly, why so many permissions? I felt kind of exposed by all of the things you grant when downloading this app. Anyhow this app is great to use and is easy to understand.",,,
1.0 out of 5 stars,can't use in diff. country,"I can't skype people in other countries, it keeps saying I need a country code but won't work when I type it in!!!",,,
4.0 out of 5 stars,Very helpful!,Help me with friends.,,,
3.0 out of 5 stars,skype,"choosen to keep in contact with:  friends, acquaintences, and family.this is a great way to inter act and daily.",,,
5.0 out of 5 stars,works fine,work great so far,,,
5.0 out of 5 stars,AWSOME,I have had it for 3 months and I can still talk to friends when I am working instead of on computer I use kindle fire HD love it,,,
3.0 out of 5 stars,does its job.....sometimes,"I love using skype but only when im using either a laptop or a computer. When im using the product on my kindle, i could hardly send a message or call that would go through to the other end. It's frustrating. Wish that would change. :/",,,
1.0 out of 5 stars,no good. junk,It crashes every time I connect to my grandson. Disgusted. Don't download it.,,,
4.0 out of 5 stars,Four Stars,I like it works good,,,
3.0 out of 5 stars,Annoying!,It's so annoying! Its great and all but it keeps dropping my calls and saying Skype not responding! its so annoying ppl need to fix this Skype problem quick! >:(,,,
5.0 out of 5 stars,Skype is great on the Kindle.,"I love the ability to be mobile while Skyping family.  I can walk around the house and show things to my grand children,",,,
1.0 out of 5 stars,WTF,"Wow.The whole point of Skype is being able to video chat,and I can only do that for about thirty seconds before Skype crashes. -_- Uninstalling until it's fixed....DON'T WASTE SPACE DOWNLOADING.",,,
4.0 out of 5 stars,sweet!!! :),People r lying about how skype sucks it works just fine get the app if u want to talk face to face with people. It doesn't glitch.,,,
5.0 out of 5 stars,OMG SOOOOOOOOOOOO FUN!,It's awesome talk to your friends whenever call them whenever!It's like we never split apart.Guys buy this it's AWESOME !!!!!!!!!!So in HD let u know when u have a text ok I. Running out of word just buy it guys!,,,
1.0 out of 5 stars,waste of time,"It doesn't work properly. It opens but has no volume and then constantly crashes. I was forced to update and it was a waste of time, I'm deleting it!",,,
5.0 out of 5 stars,Five Stars,5 people found this helpful,,,
5.0 out of 5 stars,k,This application allows you to talk to friends and family were ever ans when every you want oh don't even need Wi-Fi can't you believe it unlike a lot of others you give a ring ans you can't only just talk you can see the person that you are talking to.,,,
5.0 out of 5 stars,The best face time app,I love this. Its helps me so I can contact my family,,,
1.0 out of 5 stars,not worki Nguyen after kindle update,Its not working after kindle update.,,,
3.0 out of 5 stars,good for connection,Good for connecting with friends and family both at home and abroad. Both audio and video are fantastic but quality is not always guaranteed.,,,
3.0 out of 5 stars,Group chat,When I use Skype to Skype my friends I can't  seem to make group call😟😟😟,,,
3.0 out of 5 stars,Three Stars,It is such a pain to connect or to set up on a new PC or Tablet,,,
5.0 out of 5 stars,LOL,"I loved it! I moved to a different school and had to leave my friends. Then I downloaded Skype and wa la! I can now talk to Niamh even if she went back to England, we would still be in great contact with each other.",,,
5.0 out of 5 stars,5 stars,"This app is so good for connecting with my friends. I don't have a phone so I can't call. But with Skype, I can. Awesome!😀😀",,,
4.0 out of 5 stars,love it,I love it I just wish they could make it that more than 2 people can be in one call,,,
4.0 out of 5 stars,pretty cool,"This app is pretty cool. The picture is not exactly high quality witch is why I can't give it a 5th star if you are into stuff like Face time I totally recommend it. I only have like 9 contacts but that is so far from the limit. Infact I don't even think their is a limit. You can send photos, videos, I mean the sky is the limit. I totally recommend it for all ages totally fun.",,,
4.0 out of 5 stars,Needs to Update,"This needs a to be updated, so I can join group calls. Other than that the app is good",,,
5.0 out of 5 stars,Great!,It's great to talk to friends and make videos using it! I would recommend this to people who get bored easily.,,,
1.0 out of 5 stars,Doesn't work on my Kindle Fire HD,This app doesn't work on my Kindle Fire HD. It always says that I'm not connected to WiFi when I try to use it.,,,
1.0 out of 5 stars,One Star,"Crashed, tried to uninstall and install again but same thing. It won't work any more",,,
5.0 out of 5 stars,awsome,This is the most awsome app I can keep in touch with friends  and family,,,
3.0 out of 5 stars,I don't Remember this,It may be exciting but I don't even remember ordering this. Have never used it and am not sure if I ever will.,,,
3.0 out of 5 stars,eh,This app is good but it is always blurry and I can barely understand what the person on my screen is saying please fix this soon!,,,
5.0 out of 5 stars,a must have,This is a must have for any device.Easy to load and easy to use. Great way to keep in contact with friends and family.,,,
5.0 out of 5 stars,love it,"I can talk to family, friends on the go this is excellent when I am not at my desk top.",,,
4.0 out of 5 stars,Skype is good!!!,This app is a really good app there's nothing wrong with this app you have control on your volume etc. If you get this app you will be very happy I promise this app will not let you down. I use skype all the time I like using it it's so much fun.,,,
2.0 out of 5 stars,"Disappointment again, in my Kindle Fire","I can't get this damn Kindle Fire to work like it should....I'm thinking too download a speed off my 'top of the range-""state of the art""' wi-fi set up here in NE Victoria, Australia. I buy audio books with no option to download to my fire and not my kindle 7!",,,
1.0 out of 5 stars,OMFG,I have always loved Skype and never had an issue... now all of a sudden every time  I get on a call with someone the screen goes white and k hah  to restert my kindle again and again... this sucks...,,,
5.0 out of 5 stars,Smooth and snappy,"Great Skype app, better than the Windows phone version",,,
2.0 out of 5 stars,volume,Skype was great until the update on the kindle.. now I can't control the volume.I have no of talking my friends walking to the bus!! :(,,,
2.0 out of 5 stars,dissapointed,"Very disappointing experience, because for some reason it keep on freezing and says that the program is not responding. :( please fix it",,,
4.0 out of 5 stars,it's ok,This app needs some improvements.,,,
1.0 out of 5 stars,no update!!!!,"The update wad horrible!!!! It's glitchy, crashing and it give LESS not more features. You took away things in th  update not added!!!!!!! I hate the new look to! Why do I have to look at my friends stupid profile while texting!!!! If u don't update it again were it's like th  older  one I'm getting rid of it!",,,
5.0 out of 5 stars,Five Stars,Gratis=Bueno,,,
4.0 out of 5 stars,needs to update,"My overall experience with Skype has been good, but connecting to group calls/chats has been a pain so please fix this bug. Other than that I have had a good experience.",,,
1.0 out of 5 stars,Not a working app.  Will not allow area code to be entered,"I am really peeved that the Skype download for Kindle Fire HD 8.9 does not allow for you to add the area/local code, so that you can obtain a number for your device on the local network.  This renders video chatting with other friends on Skype useless, since they have no contact number with which to reach you.  I tried to delete it twice and reload the application, and even tried the android application.  Nothing I did corrected the problem.  If you don't put the area code in and just have the state, like Texas, it gives you a phone area code for San Antonio, which is 5 hours away.  Someone needs to seriously look at this and make a correction to the app., or give us a way to fix it.  Skype is one of the main video chatting apps that most people use.  Had I known it was useless I would have spent my money on the Ipad, but i figured all i needed was to video chat and didn't need to have a camera on the back for vidoes and pictures that the Ipad includes.  At least Ipad can use SKYPE!  I'd give this app a zero if it allowed....",,,
2.0 out of 5 stars,logging issue,You're given an option to sign out well sign me out don't allow it to resign back in if I want to be signed off. The hassle to delete from kindle and re download just to make sure I'm signed out,,,
1.0 out of 5 stars,Bugs all the time.,Freaking lag all the time and it cut off my video calls and I can't seem to call them back. So i have to shut it down and reopen but just to find out that it freaking bug again. I thought you guys were supposed to be the official trustworthy brand or something. You guys let me down.,,,
3.0 out of 5 stars,it was okay,"I downloaded this app stay in touch with my family and friends. It was kinda hard to set up and to learn how to use it. And also every time I Skype call, I always lose WiFi. So, it's alright but it could have some improvements",,,
5.0 out of 5 stars,love the app,I like this app I got it  so I could talk to friends and people I know it works great not choppy for me but more of a my problem I keep forgetting my password :3,,,
5.0 out of 5 stars,Great!,"It's Great, but u need Wi-Fi to text and call. 💙💙💙💙💙💙💙💙💙💙",,,
5.0 out of 5 stars,Skype Is The Best,I Like Skype Cause It Is The Most Famous Way To Interact With People I Know On The Internet. Excellent.,,,
4.0 out of 5 stars,... Yeah good app,It's a good app but I doesn't seem to remember my password all the time....,,,
4.0 out of 5 stars,love it!,So pleased that Skype works so well.  Did not know that we would have this option available.  Easy to use.,,,
5.0 out of 5 stars,used before,good product easy to use easy way to stay in touch with friends and family the best way to talk to friends,,,
5.0 out of 5 stars,Five Stars,this is an excellent app that is useful for talking to someone over the internet,,,
3.0 out of 5 stars,frustrating,"Tried to use this to tall with family overseas. Absolutely terrible. The video quality is okay. But the audio both ways is garbage. I can't hear audio coming in. They can't hear it on their end, even with the volume turned all the way up. Disappointing to say the least.",,,
5.0 out of 5 stars,it is awesome,My sister has it to and we live in the same house and when were not in the same room we call each other it is rally really fun I really like it thanx for making this game amazon!,,,
1.0 out of 5 stars,Won't even load,"After roughly 10 minutes of loading, I get an error message telling me it can't sign me in even though I know I have the right credentials. This has happened to me at least 5 times. Skype and Amazon please fix this! :(",,,
3.0 out of 5 stars,won't let me download,It won't let me download it at all it keeps saying there's an error,,,
5.0 out of 5 stars,awesome..,"Love it... it works great. Only, it only works if you have Wi-Fi. Other than that, I can connect with friends........",,,
5.0 out of 5 stars,works great for kindle fire HD 7!!!!,I downloaded Skype and now I can Skype my dad when he is at work and I got the update the update works fine and the update is awesome thank you Skype for making a update to skype,,,
4.0 out of 5 stars,Read most recent reviews,"Skype works fine for me, with the occasional dropped call. All the bad reviews of this are from over a year ago. I use Skype for gaming with my friends and it hasn't crashed in big or important moments.",,,
1.0 out of 5 stars,it won't let me make an account,I tried to enter my pin and it said please make sure it's the right pin or something but I know it wouldn't let me sign up.,,,
1.0 out of 5 stars,Update?????,"This app worked in till I got the new upgrade. Now it refuses to let me on group chat calls, claiming it is not updated when it is not possible for me to update it again. It is fully updated. If someone can figure my problem out please let me know.",,,
3.0 out of 5 stars,Three Stars,ok,,,
1.0 out of 5 stars,absolutely awful!!!,The connection is horrible!  It always ends up needing to be closed because it's not responding. I don't know why they haven't been able to make this app better. Totally not worth it!!!,,,
1.0 out of 5 stars,cannot refresh contacts,"I edit contact list in desktop Skype, but the contact list in my fite phone cannot be updated. Horribly designed app.",,,
5.0 out of 5 stars,skype,I think skype will be a good app but you either have to buy minutes which I'm not gonna do or you can subscribe . That will be easy to subscribe I recommend this app just wanted to give heads up,,,
5.0 out of 5 stars,Super Glitchy,When I Play Roblox It Usualy Will Sound Like This When I'm Talking To Someone: hdnrbwjshsusnshshdhsjdjdjjdjdhdh skype please fix this if you do thank you so much,,,
1.0 out of 5 stars,"no, no, no","This app is absolutely horrid for kindle. Might as well just not download it. COME ON Skype, you can do better than this. Don't stoop down to the kindle app store level.",,,
1.0 out of 5 stars,Horrible Update,"Very upsetting!!! Was running on my device just fine, then decided to update itself and failed... kept failing and when tried to redownload it failed time and time again...",,,
1.0 out of 5 stars,kindle and kindle fire HD,Skype sticks all the time and it's starting to affect my other apps. It hangs up my calls and works on its own timing. It's horrible!,,,
2.0 out of 5 stars,awful,"Skype used to work beautifully but ever since an over all Kindle update it crashes like crazy, stops randomly or glitches out to the point I have to sign out. What happened to Skype it used to be a good thing....clearly someone f-'ed up badly.",,,
1.0 out of 5 stars,So Disappointed,"Wanted to use on my Kindle Fire HD. Blocks most of the screen.  Terrible. They need to fix this.  I love my Kindle for so many things, can't believe this is so bad.",,,
5.0 out of 5 stars,I love the app,I love this app you can call or text and it is good for people that live far away and you want to see them or talk and text them on your phone or you tablet!! I just love this app and it is the best talk and texting app I have ever had in my whole life!!! :),,,
1.0 out of 5 stars,Install Failed.,"Skype has been on the fritz lately so I decided to give it a break and I uninstalled it. Now that I want to reinstall it it just keeps saying install failed. I've cleared up my storage so this isn't a space issue, it just doesn't want to install. Needs to be fixed ASAP.",,,
1.0 out of 5 stars,Kindle fire,Won't download or update on my kindle fire both kindle will only make calls  not receive them need to update 7.46 version for kindle. All my other devices updated working fine.,,,
5.0 out of 5 stars,Kindle enjoys,My son loves it.Enjoys  communicating with his friends.Skype makes  you feel like your in room with person.Would recommend it to all his friends,,,
1.0 out of 5 stars,Kindle Fire hdx no longer works well with skype for ...,Kindle Fire hdx no longer works well with skype for me.  Since the update all of my calls drop after a few minutes.  Uninstalling and re-installing does not help.,,,
5.0 out of 5 stars,Confused....,Everyone else says the update is terrible but it works just fine for me so I'm kind of confused here?,,,
1.0 out of 5 stars,Sucks,"Crashes constantly. Sometimes I can have an hour call, sometimes it crashes every five minutes. The sound and picture are off by a decent margin half of the time. Extremely frustrating.",,,
1.0 out of 5 stars,Unusable,"I tried to avoid getting the update, but login issues gave me no choice.  After setting everything up, I made my first call and the app crashed 10 seconds into it.  After that it crashed every time I tried to all, what a waste.",,,
5.0 out of 5 stars,Skype far distens,I can talk to my mom and dad on any device for free and any time you can be in a car and be talking from wherever you are,,,
2.0 out of 5 stars,not good app,"When messaging, it actually stops the app. When I'm receiving a video call by after a minute the video actually stops, as after 15 sec. , we cannot get to the app anymore, unless we restart this device. Please I need a bug fix here so I can still stick with this app. Thank you.",,,
4.0 out of 5 stars,Rocks!!,really very cool!! worth the purchase. better than on my smartphones. recommended to have if you like face to face conversation.,,,
2.0 out of 5 stars,terrible,Calls don't connect and the quality is terrible.,,,
2.0 out of 5 stars,Cant download Skype,"Finding it hard to download skype from your app, have being referred to severe other apps. Could my phone be the reason cause I use a blackberry passport..",,,
1.0 out of 5 stars,Sucks,Since they upgraded my Skype app without me asking it never works! It's horrible! I didn't want the upgrade and now there's nothing I can do to fix it.,,,
4.0 out of 5 stars,Fine but,I was trying to make a account but it said that my network connection was down and I checked it and it was not even down I can't even make a Skype on the computer because I'm not &#34;Ineligible&#34; to registerPlz fix it I really want a Skype :(,,,
1.0 out of 5 stars,completely and utterly awful,"Ever since the update, the app constantly crashes. Calls don't work, camera fails, and freezes up the entire Kindle. App needs a lot of work. Don't waste your time downloading.",,,
1.0 out of 5 stars,stupid,"I started to use skype to talk to my besties, and it made my speakers and headphones stop working. Had uninstalled! Now, my kindle fire 7"" doesn't have speakers or headphones, so its worthless. Please fix!",,,
4.0 out of 5 stars,Dat52@aol.com,Useful for my kindle and the people that are not available in my area such as family,,,
1.0 out of 5 stars,Save us,"Dear Skype, Please show some mercy on this poor kindle users and kindly give us a stable, well working update.",,,
4.0 out of 5 stars,Great but Watch Out,it is a very great app to use but ONLY ADD PEOPLE U KNOW AND DENY PEOPLE THAT YOU DON'T KNOW  because i guy that friended me asked my to first have skype sex and then marry him THAT WAS CRAZY if that  happens to you immediately tell an adult and they will help you.  Love the app but just watch out.,,,
1.0 out of 5 stars,Most crappy app. Ever!,"This is the worst application ever made! I give one star because I cannot give 0.It crashes, locks, hangs and does a lot ot bad other things.If I'm so lucky to be able to establish a video chat, it crashes after few minutes.All of this after that MS bought it....sigh!",,,
5.0 out of 5 stars,Skype makes a soldiers mother happy,Skype is the greatest thing. When my son was deployed to Iraq and even since he came back it has helped us to still feel close to one another.,,,
5.0 out of 5 stars,Amazing!,I love using Skype to communicate with my cousins. It's awesome! :),,,
1.0 out of 5 stars,Bad,It crashes. It won't stop ringing. Lack of audio options.,,,
1.0 out of 5 stars,no sound after two years,"It has been very frustrating two years with Kindle Fire HD an still no sound, several times install and uninstall, getting all updates, installed from official Amazon app store.",,,
1.0 out of 5 stars,useless,Skype use to be the best web chat app out there. Ever since the update this app has been complete garbage. You would think skype would make another update to make skype suck less.,,,
5.0 out of 5 stars,the greatest,best app out there if you want to talk to to people all over the place and see them and its free,,,
4.0 out of 5 stars,IT'S GREAT BUT.....,My mom has filters and we still don't have that update....Please Fix 😩,,,
1.0 out of 5 stars,LAG,"When I first went on Skype it worked well, then it started to not let me call people or text with them. I would rather go on the computer or something else instead",,,
1.0 out of 5 stars,automatic restart,I don't know why when I try to chat or something with someone specifically the application restart automatically and I can't comunicate with thai contact. I HATE IT!,,,
5.0 out of 5 stars,Five Stars,great,,,
1.0 out of 5 stars,Constantly crashes Kindle Fire HD,"The app worked great until the new update. Now it completely crashes my Kindle Fire HD (purchased December 2013). It just stopped working and made me restart my device 4 times in less than an hour.  it is very, very frustrating. Please find a fix for this, Skype.",,,
4.0 out of 5 stars,really good,It's kinda complicated when first use it but u get use to it.It's not like the real thing but is still good I could still Skype my friends and family I'm glad they brought Skype on the kindle fire hd,,,
2.0 out of 5 stars,buggy,"Inconsistent performance. sometimes things, sometimes doesn't.n sometimes shows notifications, sometimes doesn't. Have had to reinstall several times.",,,
1.0 out of 5 stars,connection,Can't connect - useless error message - eventually found possible solution on web - download latest version - option does not exist - hate Skype,,,
1.0 out of 5 stars,It messes me up!,When I got this game it was all good.But when I was on hear this morning and wanted to talk with my friend everything on here was gone!!! And I download Skype again just gone I was so mad!!,,,
1.0 out of 5 stars,I HATE THIS,Over the summer I was gone and Skype is the only thing I could use it crashed I cried I missed my family don't get it updated,,,
5.0 out of 5 stars,awesome!!!!!!!😂😂,"I love that u can face chat, call, and message. Skype is very organized and it is a good way to talk with your friends and family that u do not see very often. This is also kid friendly and I'm telling u this because I am a kid😂",,,
5.0 out of 5 stars,Awesome,This is so great cause now I can talk to my friends from a distance.,,,
3.0 out of 5 stars,eh,It's ok at first but me and my friend were playing over pc and when the Skype crashed the game crashed... pls fix.,,,
5.0 out of 5 stars,Hello,Peekaboo I can see you,,,
5.0 out of 5 stars,Skypetastic,This  app is really fun it helps  reconnect to my friends all over the world.I Think you will enjoy this app,,,
2.0 out of 5 stars,"it was great, until.....(kindle fire HD user)","There were some things at first, that were annoying,and I learned to put up with. Then the update came out. and now I can't even open the app without a message saying ""this app is incompatible with this device. AM I MISSING SOMETHING?! please unbreak Skype.Please.",,,
5.0 out of 5 stars,great after update,This app was terrible before update but now it's all fixed. So ignore all the people who said it does not work because it works now.,,,
5.0 out of 5 stars,Awesome!,I love this app! I use the messaging all the time. I use it the most and don't even need a texting app. <3,,,
5.0 out of 5 stars,Awesome.,I Skype my friend in a perfect way.,,,
1.0 out of 5 stars,video lags behind audio,The video lags several seconds behind the audio. It's not a network issue as I have fast internet speeds and have tried it on several other networks.  Very annoying and I wish they would fix it,,,
1.0 out of 5 stars,terrible update,I can't get the update to work and I've tried 29 times and it keeps crashing and won't let me get the update,,,
1.0 out of 5 stars,New skype,"I thought it was me being useless but have read the reviews 're the new Skype and,thankfully it's not. I can't sync contacts, or even use the new Skype on my kindle fire,although it's useable on my phone.",,,
1.0 out of 5 stars,no other star lower than 1,Always crashes  hang up and every time it happen i need to restart my kindle for  the skype to work again. Way to go skype!!,,,
